document_index,ind,source_id,split_type,activity_label,label,char_start,char_end_exclusive
1860,28728,activitynet~v_RSyk6rS8ay0,zeroshot,Clean and jerk,0,328402,328615
1861,28785,activitynet~v_SfQku6CicrU,zeroshot,Washing face,2,328617,328689
1862,28789,activitynet~v_SokK_O2s9tQ,indomain,Camel ride,2,328691,328825
1863,28791,activitynet~v_SokK_O2s9tQ,indomain,Camel ride,1,328827,329024
1864,28802,activitynet~v_SvYeqLg4dQU,indomain,Playing pool,2,329026,329171
1865,28803,activitynet~v_SvYeqLg4dQU,indomain,Playing pool,1,329173,329395
1866,28804,activitynet~v_SvYeqLg4dQU,indomain,Playing pool,2,329397,329631
1867,28835,activitynet~v_TeLWp5sSxg0,indomain,Removing curlers,0,329633,329776
1868,28836,activitynet~v_TeLWp5sSxg0,indomain,Removing curlers,3,329778,329973
1869,28852,activitynet~v_TspdPLMqTx0,zeroshot,Playing violin,0,329975,330065
1870,28860,activitynet~v_U37UAWdI-vY,zeroshot,Playing harmonica,2,330067,330314
1871,28861,activitynet~v_U37UAWdI-vY,zeroshot,Playing harmonica,0,330316,330500
1872,28887,activitynet~v_UnOzWl0EGCA,indomain,Mixing drinks,2,330502,330620
1873,28898,activitynet~v_UrQ7Jq1s95o,zeroshot,Clean and jerk,1,330622,330716
1874,28965,activitynet~v_WebWWFKJ4b0,indomain,Welding,3,330718,330994
1875,28971,activitynet~v_WtWw-GNpr4E,indomain,Playing badminton,2,330996,331253
1876,28986,activitynet~v_Xc70KHd4zhI,zeroshot,Having an ice cream,0,331255,331371
1877,29051,activitynet~v_Z47QGlaQ1NE,zeroshot,High jump,0,331373,331466
1878,29058,activitynet~v_ZBoa0UN86Qw,zeroshot,Layup drill in basketball,1,331468,331668
1879,29060,activitynet~v_ZBoa0UN86Qw,zeroshot,Layup drill in basketball,1,331670,331818
1880,29065,activitynet~v_ZKkjR2VTb7Y,zeroshot,Cutting the grass,2,331820,331954
1881,29078,activitynet~v_ZZ71FIfxX-c,indomain,Beer pong,2,331956,332248
1882,29085,activitynet~v_ZlwkO1oFBHw,zeroshot,Layup drill in basketball,3,332250,332452
1883,29086,activitynet~v_ZncidS9kQ-g,indomain,Playing saxophone,0,332454,332585
1884,29096,activitynet~v_Zt9nALIsHPc,zeroshot,Playing harmonica,0,332587,332676
1885,29144,activitynet~v_aPzHheM0Egw,indomain,Fixing the roof,3,332678,332853
1886,29154,activitynet~v_afqUOlnLHX0,indomain,Playing pool,2,332855,333065
1887,29187,activitynet~v_c6nEk5N4fSU,indomain,Elliptical trainer,2,333067,333151
1888,29196,activitynet~v_cMuQUTKMc0k,zeroshot,Having an ice cream,1,333153,333280
1889,29199,activitynet~v_cMuQUTKMc0k,zeroshot,Having an ice cream,1,333282,333471
1890,29272,activitynet~v_e6J_ygZ779A,zeroshot,High jump,1,333473,333611
1891,29280,activitynet~v_eRHbpYeYtxo,zeroshot,Clean and jerk,3,333613,333775
1892,29281,activitynet~v_eTVzSwuCfd8,indomain,Blow-drying hair,3,333777,333894
1893,29309,activitynet~v_eeoQE0dbA6U,indomain,Baton twirling,3,333896,334105
1894,29384,activitynet~v_hUynCsek8I0,zeroshot,Ice fishing,2,334107,334284
1895,29413,activitynet~v_iFJaqDgYsp0,zeroshot,Clean and jerk,0,334286,334448
1896,29414,activitynet~v_iFJaqDgYsp0,zeroshot,Clean and jerk,1,334450,334639
1897,29415,activitynet~v_iFJaqDgYsp0,zeroshot,Clean and jerk,3,334641,334827
1898,29455,activitynet~v_ijChwOwYDWc,zeroshot,Ice fishing,3,334829,335020
1899,29456,activitynet~v_ijChwOwYDWc,zeroshot,Ice fishing,1,335022,335217
1900,29457,activitynet~v_ijChwOwYDWc,zeroshot,Ice fishing,2,335219,335530
1901,29525,activitynet~v_ke9gaIRnaEo,zeroshot,Running a marathon,3,335532,335641
1902,29526,activitynet~v_ke9gaIRnaEo,zeroshot,Running a marathon,1,335643,335836
1903,29527,activitynet~v_ke9gaIRnaEo,zeroshot,Running a marathon,3,335838,336021
1904,29548,activitynet~v_l2MB-KxbVEs,indomain,Calf roping,2,336023,336133
1905,29549,activitynet~v_l2MB-KxbVEs,indomain,Calf roping,1,336135,336289
1906,29550,activitynet~v_l2MB-KxbVEs,indomain,Calf roping,0,336291,336437
1907,29551,activitynet~v_l2MB-KxbVEs,indomain,Calf roping,2,336439,336545
1908,29590,activitynet~v_lyJpgvmTOpo,indomain,Drinking beer,1,336547,336621
1909,29591,activitynet~v_lyJpgvmTOpo,indomain,Drinking beer,2,336623,336724
1910,29593,activitynet~v_m3yLm_dJU94,indomain,Cheerleading,1,336726,336910
1911,29614,activitynet~v_mh_0QLZhrSY,indomain,Playing bagpipes,0,336912,337016
1912,29624,activitynet~v_mpC_UTM1tWQ,indomain,Discus throw,1,337018,337085
1913,29625,activitynet~v_mpC_UTM1tWQ,indomain,Discus throw,0,337087,337207
1914,29688,activitynet~v_oFc4uYTxEqs,indomain,Tango,3,337209,337380
1915,29689,activitynet~v_oFc4uYTxEqs,indomain,Tango,2,337382,337562
1916,29711,activitynet~v_ow9bWn5gOvg,zeroshot,Sharpening knives,1,337564,337746
1917,29715,activitynet~v_ox2AGCcE9a0,zeroshot,Clean and jerk,3,337748,337897
1918,29718,activitynet~v_p3PEMCN4h_g,zeroshot,Running a marathon,3,337899,338171
1919,29719,activitynet~v_p3PEMCN4h_g,zeroshot,Running a marathon,0,338173,338472
1920,29720,activitynet~v_p3PEMCN4h_g,zeroshot,Running a marathon,2,338474,338724
1921,29721,activitynet~v_p3PEMCN4h_g,zeroshot,Running a marathon,3,338726,338944
1922,29776,activitynet~v_qHRCGBIiNFg,zeroshot,Ice fishing,3,338946,339143
1923,29798,activitynet~v_qdE6dbQOnt0,zeroshot,Washing face,1,339145,339349
1924,29810,activitynet~v_rCmpRDbS_O4,zeroshot,Washing face,1,339351,339465
1925,29812,activitynet~v_rMWCaPh9UqE,zeroshot,Cutting the grass,0,339467,339665
1926,29813,activitynet~v_rMWCaPh9UqE,zeroshot,Cutting the grass,2,339667,340012
1927,29814,activitynet~v_rMWCaPh9UqE,zeroshot,Cutting the grass,1,340014,340296
1928,29816,activitynet~v_rQZIJBinOsw,zeroshot,Sharpening knives,0,340298,340603
1929,29818,activitynet~v_rQZIJBinOsw,zeroshot,Sharpening knives,3,340605,341010
1930,29819,activitynet~v_rQZIJBinOsw,zeroshot,Sharpening knives,2,341012,341346
1931,29850,activitynet~v_s9MNW35YCMw,zeroshot,Gargling mouthwash,3,341348,341426
1932,29851,activitynet~v_s9MNW35YCMw,zeroshot,Gargling mouthwash,3,341428,341566
1933,29860,activitynet~v_sR3_5j8pUdI,indomain,Using the rowing machine,2,341568,341677
1934,29861,activitynet~v_sR3_5j8pUdI,indomain,Using the rowing machine,1,341679,341832
1935,29958,activitynet~v_upoS4Jct7kE,zeroshot,Sharpening knives,0,341834,341948
1936,29961,activitynet~v_upoS4Jct7kE,zeroshot,Sharpening knives,3,341950,342235
1937,29982,activitynet~v_vCeaFAiokrU,indomain,Shoveling snow,1,342237,342377
1938,29983,activitynet~v_vCeaFAiokrU,indomain,Shoveling snow,1,342379,342589
1939,29986,activitynet~v_vc820BteGzY,indomain,Making a cake,1,342591,342731
1940,29987,activitynet~v_vc820BteGzY,indomain,Making a cake,3,342733,342968
1941,30002,activitynet~v_vvk6f13VO5c,indomain,Beach soccer,1,342970,343166
1942,30012,activitynet~v_w2HnFjJei7k,zeroshot,Gargling mouthwash,2,343168,343440
1943,30013,activitynet~v_w2HnFjJei7k,zeroshot,Gargling mouthwash,3,343442,343699
1944,30021,activitynet~v_wBcP3SQ3Qg4,indomain,Washing hands,0,343701,343924
1945,30054,activitynet~v_xOmfJGR5fBw,indomain,Clipping cat claws,3,343926,344038
1946,30055,activitynet~v_xOmfJGR5fBw,indomain,Clipping cat claws,3,344040,344186
1947,30056,activitynet~v_xOmfJGR5fBw,indomain,Clipping cat claws,3,344188,344315
1948,30057,activitynet~v_xOmfJGR5fBw,indomain,Clipping cat claws,2,344317,344454
1949,30068,activitynet~v_xsBFnpdLWkU,indomain,Playing blackjack,0,344456,344530
1950,30069,activitynet~v_xsBFnpdLWkU,indomain,Playing blackjack,2,344532,344666
1951,30071,activitynet~v_xsBFnpdLWkU,indomain,Playing blackjack,2,344668,344820
1952,30072,activitynet~v_xsBFnpdLWkU,indomain,Playing blackjack,0,344822,344957
1953,30105,activitynet~v_ycA2gqWhPGk,zeroshot,Washing face,2,344959,345132
1954,30110,activitynet~v_yl3bjdUZrmM,indomain,Applying sunscreen,1,345134,345318
1955,30130,activitynet~v_yxcikJ3Hp8w,indomain,Cheerleading,3,345320,345510
1956,30131,activitynet~v_yxcikJ3Hp8w,indomain,Cheerleading,2,345512,345769
1957,30141,activitynet~v_z9l32VOM6wY,zeroshot,Sharpening knives,1,345771,346145
1958,30147,activitynet~v_zPV8s8ZuLBY,zeroshot,Playing harmonica,3,346147,346226
1959,30165,activitynet~v_zufK6CufVhA,indomain,Shuffleboard,1,346228,346408
1960,30181,activitynet~v_-0i3BpAQAgE,indomain,Rock-paper-scissors,2,346410,346507
1961,30182,activitynet~v_-0i3BpAQAgE,indomain,Rock-paper-scissors,0,346509,346642
1962,30183,activitynet~v_-0i3BpAQAgE,indomain,Rock-paper-scissors,0,346644,346806
1963,30202,activitynet~v_-PbWrGLuHT8,indomain,Windsurfing,0,346808,346947
1964,30203,activitynet~v_-PbWrGLuHT8,indomain,Windsurfing,3,346949,347144
1965,30204,activitynet~v_-V5_GMuMzc8,indomain,Getting a haircut,3,347146,347219
1966,30205,activitynet~v_-V5_GMuMzc8,indomain,Getting a haircut,3,347221,347329
1967,30256,activitynet~v_-uICMT1yOcM,zeroshot,Having an ice cream,2,347331,347433
1968,30314,activitynet~v_0T7yANM5I5Y,zeroshot,Clean and jerk,0,347435,347528
1969,30315,activitynet~v_0T7yANM5I5Y,zeroshot,Clean and jerk,3,347530,347701
1970,30321,activitynet~v_0j9TxzwRr6E,indomain,Table soccer,1,347703,347826
1971,30322,activitynet~v_0j9TxzwRr6E,indomain,Table soccer,2,347828,348026
1972,30343,activitynet~v_18QVPZgjy8w,indomain,Playing badminton,2,348028,348110
1973,30344,activitynet~v_18QVPZgjy8w,indomain,Playing badminton,3,348112,348246
1974,30358,activitynet~v_1JeK3U_nUUc,indomain,Beach soccer,1,348248,348456
1975,30362,activitynet~v_1PpVSeE2BJ8,zeroshot,Having an ice cream,0,348458,348540
1976,30416,activitynet~v_2FcdD7WapJM,zeroshot,Gargling mouthwash,1,348542,348742
1977,30472,activitynet~v_38qpTblXDTw,zeroshot,Cutting the grass,0,348744,348846
1978,30473,activitynet~v_38qpTblXDTw,zeroshot,Cutting the grass,3,348848,349004
1979,30495,activitynet~v_3ROld-bSgPQ,zeroshot,Having an ice cream,3,349006,349232
1980,30496,activitynet~v_3ROld-bSgPQ,zeroshot,Having an ice cream,0,349234,349474
1981,30597,activitynet~v_4qONyTNaPOI,indomain,Waterskiing,2,349476,349696
1982,30601,activitynet~v_4qONyTNaPOI,indomain,Waterskiing,3,349698,349941
1983,30615,activitynet~v_55FFh89yqVw,zeroshot,Washing face,1,349943,350174
1984,30616,activitynet~v_55FFh89yqVw,zeroshot,Washing face,1,350176,350310
1985,30621,activitynet~v_58he7Xcwfws,zeroshot,Clean and jerk,0,350312,350423
1986,30623,activitynet~v_58he7Xcwfws,zeroshot,Clean and jerk,0,350425,350587
1987,30635,activitynet~v_5R3h6lxne90,indomain,Putting in contact lenses,0,350589,350878
1988,30637,activitynet~v_5R3h6lxne90,indomain,Putting in contact lenses,1,350880,351082
1989,30638,activitynet~v_5R3h6lxne90,indomain,Putting in contact lenses,0,351084,351276
1990,30660,activitynet~v_5Z-78AmLjFo,indomain,Welding,2,351278,351397
1991,30674,activitynet~v_5kXIZCs22l8,indomain,Getting a haircut,1,351399,351533
1992,30690,activitynet~v_6Bm-_hI5A9A,zeroshot,Playing violin,1,351535,351710
1993,30692,activitynet~v_6E4_XOsT89k,indomain,Plataform diving,3,351712,351806
1994,30694,activitynet~v_6Epn-R6sg5U,indomain,Playing pool,0,351808,351954
1995,30695,activitynet~v_6Epn-R6sg5U,indomain,Playing pool,0,351956,352174
1996,30747,activitynet~v_7-uMJ_5WsZM,zeroshot,Cutting the grass,1,352176,352374
1997,30751,activitynet~v_73ZdOEJcsUw,indomain,Knitting,0,352376,352528
1998,30757,activitynet~v_7KYj4FQUESo,indomain,Vacuuming floor,0,352530,352691
1999,30790,activitynet~v_7g3YO0-R4qk,indomain,Swimming,2,352693,352783
2000,30835,activitynet~v_88Mt7VfUQBU,indomain,Kneeling,3,352785,352873
2001,30858,activitynet~v_8NcRuVMSQLs,zeroshot,High jump,3,352875,353080
2002,30882,activitynet~v_8b3ZBE0n3V8,indomain,Arm wrestling,0,353082,353276
2003,30883,activitynet~v_8b3ZBE0n3V8,indomain,Arm wrestling,3,353278,353516
2004,30884,activitynet~v_8b3ZBE0n3V8,indomain,Arm wrestling,0,353518,353765
2005,30901,activitynet~v_8miqQQJEsO0,zeroshot,Clean and jerk,0,353767,353881
2006,30909,activitynet~v_8twDb4CdhE0,zeroshot,Having an ice cream,3,353883,354098
2007,30927,activitynet~v_90cHokbZy6A,zeroshot,Sharpening knives,0,354100,354179
2008,30945,activitynet~v_9Pv2hUyODK4,indomain,Triple jump,1,354181,354395
2009,30947,activitynet~v_9Pv2hUyODK4,indomain,Triple jump,1,354397,354630
2010,30965,activitynet~v_9ku5v_hSVMw,zeroshot,Clean and jerk,0,354632,354771
2011,30967,activitynet~v_9qJbSz-eCq0,zeroshot,Having an ice cream,3,354773,355001
2012,30969,activitynet~v_9rW35YTKYq8,zeroshot,Playing violin,3,355003,355195
2013,30970,activitynet~v_9rW35YTKYq8,zeroshot,Playing violin,2,355197,355468
2014,31044,activitynet~v_Ap7GCrt9C4w,zeroshot,Clean and jerk,0,355470,355593
2015,31057,activitynet~v_B0sXYJeZ8Xk,zeroshot,Cutting the grass,3,355595,355716
2016,31058,activitynet~v_B0sXYJeZ8Xk,zeroshot,Cutting the grass,1,355718,355931
2017,31070,activitynet~v_BAgUUUOGaxI,indomain,Playing accordion,3,355933,356077
2018,31119,activitynet~v_Bm6HrokioXU,indomain,Dodgeball,2,356079,356308
2019,31149,activitynet~v_C5KcdwGSvbw,indomain,Baking cookies,2,356310,356397
2020,31150,activitynet~v_C5KcdwGSvbw,indomain,Baking cookies,1,356399,356566
2021,31151,activitynet~v_C5KcdwGSvbw,indomain,Baking cookies,2,356568,356776
2022,31152,activitynet~v_C5KcdwGSvbw,indomain,Baking cookies,0,356778,357018
2023,31153,activitynet~v_C5KcdwGSvbw,indomain,Baking cookies,0,357020,357237
2024,31154,activitynet~v_C5KcdwGSvbw,indomain,Baking cookies,2,357239,357433
2025,31155,activitynet~v_C5KcdwGSvbw,indomain,Baking cookies,3,357435,357622
2026,31168,activitynet~v_CE93IieQkAg,zeroshot,Cutting the grass,0,357624,357706
2027,31198,activitynet~v_Ch_qHjUtOpE,indomain,Cheerleading,0,357708,357904
2028,31252,activitynet~v_DQXJ8OU7Ox4,zeroshot,Clean and jerk,2,357906,358107
2029,31253,activitynet~v_DQXJ8OU7Ox4,zeroshot,Clean and jerk,2,358109,358326
2030,31264,activitynet~v_Db6sq4DjW7E,zeroshot,Layup drill in basketball,2,358328,358411
2031,31267,activitynet~v_DmTI8y6Anvo,zeroshot,Layup drill in basketball,1,358413,358600
2032,31285,activitynet~v_E1-eVfnNfXI,zeroshot,Having an ice cream,2,358602,358727
2033,31286,activitynet~v_E1-eVfnNfXI,zeroshot,Having an ice cream,2,358729,358920
2034,31303,activitynet~v_EA58Fo2e0CI,zeroshot,Running a marathon,3,358922,359033
2035,31305,activitynet~v_EA58Fo2e0CI,zeroshot,Running a marathon,2,359035,359219
2036,31315,activitynet~v_EOSvdsejPQQ,zeroshot,Playing harmonica,3,359221,359311
2037,31322,activitynet~v_ERmsX91_7V4,zeroshot,Layup drill in basketball,2,359313,359446
2038,31323,activitynet~v_ERmsX91_7V4,zeroshot,Layup drill in basketball,0,359448,359635
2039,31335,activitynet~v_EcQ7DcVefdw,indomain,Polishing shoes,1,359637,359787
2040,31337,activitynet~v_EcQ7DcVefdw,indomain,Polishing shoes,2,359789,360006
2041,31338,activitynet~v_EcQ7DcVefdw,indomain,Polishing shoes,1,360008,360193
2042,31372,activitynet~v_EsVxUf4Ae2c,zeroshot,Ice fishing,1,360195,360340
2043,31373,activitynet~v_EsVxUf4Ae2c,zeroshot,Ice fishing,2,360342,360578
2044,31374,activitynet~v_EsVxUf4Ae2c,zeroshot,Ice fishing,3,360580,360801
2045,31375,activitynet~v_EsVxUf4Ae2c,zeroshot,Ice fishing,3,360803,360998
2046,31425,activitynet~v_FKl0077EUoY,zeroshot,Sharpening knives,3,361000,361169
2047,31455,activitynet~v_FZtIVsmpYcI,zeroshot,Cutting the grass,1,361171,361303
2048,31458,activitynet~v_FZtIVsmpYcI,zeroshot,Cutting the grass,0,361305,361468
2049,31459,activitynet~v_F_EHrfbYsRE,zeroshot,Running a marathon,2,361470,361611
2050,31460,activitynet~v_F_EHrfbYsRE,zeroshot,Running a marathon,1,361613,361922
2051,31479,activitynet~v_G-fsWVYrAgc,indomain,Making a cake,1,361924,362239
2052,31543,activitynet~v_GqWH2IYPw6U,zeroshot,Playing violin,1,362241,362424
2053,31636,activitynet~v_IJER0EpbxW4,zeroshot,Running a marathon,2,362426,362540
2054,31651,activitynet~v_IcDadC2tw5c,indomain,Blowing leaves,2,362542,362725
2055,31652,activitynet~v_IcDadC2tw5c,indomain,Blowing leaves,1,362727,362937
2056,31653,activitynet~v_IcDadC2tw5c,indomain,Blowing leaves,3,362939,363142
2057,31654,activitynet~v_Igm1Mx4Ng1k,zeroshot,Cutting the grass,1,363144,363253
2058,31706,activitynet~v_J8VMY1SPJaY,indomain,Kayaking,3,363255,363519
2059,31733,activitynet~v_JKFxKhCQPUs,indomain,Using the pommel horse,3,363521,363745
2060,31741,activitynet~v_JV4ss42WZG8,indomain,Making a lemonade,3,363747,363943
2061,31809,activitynet~v_KU4twxFnX5Q,zeroshot,Running a marathon,1,363945,364088
2062,31854,activitynet~v_Koxtbgzexmw,indomain,Ping-pong,1,364090,364336
2063,31858,activitynet~v_KwhqAV_0o40,zeroshot,Ice fishing,0,364338,364693
2064,31859,activitynet~v_KwhqAV_0o40,zeroshot,Ice fishing,0,364695,365074
2065,31883,activitynet~v_L5nqeFWufrE,indomain,Plataform diving,3,365076,365317
2066,31884,activitynet~v_L5nqeFWufrE,indomain,Plataform diving,3,365319,365551
2067,31885,activitynet~v_L5nqeFWufrE,indomain,Plataform diving,2,365553,365826
2068,31911,activitynet~v_LLLuBjEVHI8,zeroshot,Layup drill in basketball,0,365828,365937
2069,31913,activitynet~v_LLLuBjEVHI8,zeroshot,Layup drill in basketball,0,365939,366172
2070,31916,activitynet~v_LOhacn4jdT4,zeroshot,Clean and jerk,2,366174,366313
2071,31917,activitynet~v_LOhacn4jdT4,zeroshot,Clean and jerk,3,366315,366501
2072,31918,activitynet~v_LOhacn4jdT4,zeroshot,Clean and jerk,3,366503,366655
2073,31920,activitynet~v_LOhacn4jdT4,zeroshot,Clean and jerk,3,366657,366804
2074,31964,activitynet~v_LnqAgjTpi0k,zeroshot,Running a marathon,2,366806,366956
2075,31965,activitynet~v_LnqAgjTpi0k,zeroshot,Running a marathon,1,366958,367085
2076,31973,activitynet~v_Lou-YFz3kb0,zeroshot,Playing violin,2,367087,367284
2077,31989,activitynet~v_M0ygYlmTHy4,indomain,Playing water polo,1,367286,367530
2078,31993,activitynet~v_M6xFXdXOzzc,indomain,Playing badminton,2,367532,367835
2079,32007,activitynet~v_MKLwNTbEK4E,indomain,Playing blackjack,0,367837,368062
2080,32025,activitynet~v_McwVhHxdr5g,indomain,Rollerblading,0,368064,368164
2081,32044,activitynet~v_MyMYuXh8E0Y,zeroshot,Gargling mouthwash,1,368166,368274
2082,32047,activitynet~v_MyMYuXh8E0Y,zeroshot,Gargling mouthwash,1,368276,368432
2083,32051,activitynet~v_MyMYuXh8E0Y,zeroshot,Gargling mouthwash,2,368434,368616
2084,32099,activitynet~v_NbIxjYWSURI,zeroshot,High jump,0,368618,368746
2085,32110,activitynet~v_Ncfysce-svA,indomain,Playing guitarra,3,368748,368943
2086,32182,activitynet~v_OHwE8aA90IE,zeroshot,Cutting the grass,2,368945,369067
2087,32243,activitynet~v_OkMH4AlF8hQ,zeroshot,Having an ice cream,3,369069,369251
2088,32247,activitynet~v_OrF46J3HmSw,indomain,Hopscotch,1,369253,369446
2089,32250,activitynet~v_OrVgspx6Axs,indomain,BMX,1,369448,369693
2090,32269,activitynet~v_P4Z4sQNQtJM,indomain,Tai chi,3,369695,369808
2091,32299,activitynet~v_PLWeVDUH_Cw,indomain,Ping-pong,1,369810,369968
2092,32300,activitynet~v_PLWeVDUH_Cw,indomain,Ping-pong,3,369970,370154
2093,32302,activitynet~v_PLvg8riZZVw,zeroshot,Ice fishing,3,370156,370288
2094,32304,activitynet~v_PLvg8riZZVw,zeroshot,Ice fishing,1,370290,370442
2095,32305,activitynet~v_PLvg8riZZVw,zeroshot,Ice fishing,2,370444,370709
2096,32318,activitynet~v_PUqHiigzb7A,zeroshot,Clean and jerk,3,370711,370863
2097,32319,activitynet~v_PUqHiigzb7A,zeroshot,Clean and jerk,3,370865,371087
2098,32357,activitynet~v_PziLzNjG2bI,zeroshot,High jump,3,371089,371248
2099,32406,activitynet~v_QvP8tPp8Wog,indomain,Playing guitarra,0,371250,371388
2100,32407,activitynet~v_QvP8tPp8Wog,indomain,Playing guitarra,0,371390,371578
2101,32412,activitynet~v_R8-iriCwcyE,indomain,Using parallel bars,3,371580,371716
2102,32413,activitynet~v_R8-iriCwcyE,indomain,Using parallel bars,2,371718,371914
2103,32415,activitynet~v_R8-iriCwcyE,indomain,Using parallel bars,3,371916,372117
2104,32416,activitynet~v_R8-iriCwcyE,indomain,Using parallel bars,0,372119,372318
2105,32417,activitynet~v_R8-iriCwcyE,indomain,Using parallel bars,2,372320,372505
2106,32418,activitynet~v_R8-iriCwcyE,indomain,Using parallel bars,3,372507,372701
2107,32419,activitynet~v_RAaRFD5M8h4,indomain,Grooming dog,3,372703,372838
2108,32420,activitynet~v_RAaRFD5M8h4,indomain,Grooming dog,0,372840,373035
2109,32441,activitynet~v_RNxHKDlWAGQ,indomain,BMX,0,373037,373244
2110,32471,activitynet~v_RlC3n0VSGOU,indomain,Surfing,1,373246,373417
2111,32473,activitynet~v_RmTDHszp1v0,indomain,Using parallel bars,0,373419,373547
2112,32474,activitynet~v_RmTDHszp1v0,indomain,Using parallel bars,1,373549,373730
2113,32512,activitynet~v_SaBcTNvRA6g,zeroshot,Washing face,2,373732,373851
2114,32518,activitynet~v_SaBcTNvRA6g,zeroshot,Washing face,3,373853,374053
2115,32526,activitynet~v_SgkdciuEuKs,indomain,Cleaning sink,1,374055,374234
2116,32527,activitynet~v_SgkdciuEuKs,indomain,Cleaning sink,1,374236,374522
2117,32528,activitynet~v_SgkdciuEuKs,indomain,Cleaning sink,3,374524,374743
2118,32529,activitynet~v_SgkdciuEuKs,indomain,Cleaning sink,2,374745,374906
2119,32540,activitynet~v_SzCK4QuEG3c,zeroshot,Sharpening knives,2,374908,375070
2120,32541,activitynet~v_SzCK4QuEG3c,zeroshot,Sharpening knives,1,375072,375259
2121,32550,activitynet~v_TIue1jR51j8,zeroshot,High jump,2,375261,375338
2122,32559,activitynet~v_TQ22icNBoSI,indomain,Roof shingle removal,3,375340,375544
2123,32560,activitynet~v_TQ22icNBoSI,indomain,Roof shingle removal,0,375546,375732
2124,32587,activitynet~v_Te1d8H4VWYw,indomain,Playing water polo,2,375734,375910
2125,32588,activitynet~v_TexMXN2yegk,indomain,Carving jack-o-lanterns,3,375912,376014
2126,32614,activitynet~v_Tm1ebIrDyz0,zeroshot,High jump,2,376016,376164
2127,32616,activitynet~v_Tm7N2HU4noQ,zeroshot,Layup drill in basketball,1,376166,376251
2128,32617,activitynet~v_Tm7N2HU4noQ,zeroshot,Layup drill in basketball,3,376253,376408
2129,32620,activitynet~v_Tm7N2HU4noQ,zeroshot,Layup drill in basketball,1,376410,376546
2130,32641,activitynet~v_U0mKdo2-Gfc,zeroshot,Running a marathon,2,376548,376671
2131,32642,activitynet~v_U0mKdo2-Gfc,zeroshot,Running a marathon,2,376673,376833
2132,32643,activitynet~v_U0mKdo2-Gfc,zeroshot,Running a marathon,1,376835,377046
2133,32654,activitynet~v_UCZGbQFg6io,indomain,Long jump,3,377048,377168
2134,32671,activitynet~v_UPZm0tx77Vw,indomain,Ping-pong,1,377170,377286
2135,32672,activitynet~v_UPZm0tx77Vw,indomain,Ping-pong,2,377288,377519
2136,32673,activitynet~v_UPZm0tx77Vw,indomain,Ping-pong,0,377521,377750
2137,32674,activitynet~v_UPZm0tx77Vw,indomain,Ping-pong,2,377752,378004
2138,32701,activitynet~v_UwZbkuVsPno,zeroshot,Layup drill in basketball,2,378006,378113
2139,32710,activitynet~v_V-kMGMX-l2g,indomain,Zumba,3,378115,378246
2140,32711,activitynet~v_V-kMGMX-l2g,indomain,Zumba,2,378248,378490
2141,32727,activitynet~v_VNROQWtYhlw,zeroshot,Having an ice cream,2,378492,378646
2142,32728,activitynet~v_VNROQWtYhlw,zeroshot,Having an ice cream,1,378648,378872
2143,32729,activitynet~v_VNROQWtYhlw,zeroshot,Having an ice cream,3,378874,379103
2144,32730,activitynet~v_VNROQWtYhlw,zeroshot,Having an ice cream,1,379105,379302
2145,32821,activitynet~v_WDvsx_q2h-4,zeroshot,Playing violin,1,379304,379419
2146,32904,activitynet~v_XDFJFhaG_p0,zeroshot,Playing violin,2,379421,379548
2147,32908,activitynet~v_XKOeu8n7R7s,zeroshot,Layup drill in basketball,0,379550,379824
2148,32909,activitynet~v_XKuD0F-p6YA,indomain,Assembling bicycle,0,379826,379946
2149,32916,activitynet~v_XToVLTbQEm4,zeroshot,Layup drill in basketball,3,379948,380038
2150,32950,activitynet~v_XnUi1SG9jxA,zeroshot,High jump,2,380040,380240
2151,32951,activitynet~v_XnUi1SG9jxA,zeroshot,High jump,1,380242,380538
2152,32955,activitynet~v_XsqslHC79FQ,zeroshot,Playing violin,0,380540,380782
2153,32957,activitynet~v_XsqslHC79FQ,zeroshot,Playing violin,3,380784,380999
2154,32968,activitynet~v_Y9wrTRY3mUI,zeroshot,Ice fishing,2,381001,381252
2155,32970,activitynet~v_Y9wrTRY3mUI,zeroshot,Ice fishing,3,381254,381686
2156,32971,activitynet~v_YAPkcWlWmYg,indomain,Zumba,3,381688,381920
2157,32982,activitynet~v_YK5n3YTf8pI,zeroshot,Clean and jerk,3,381922,382154
2158,33018,activitynet~v_YnsusYE6i_0,indomain,Ballet,0,382156,382598
2159,33042,activitynet~v_Z47Ig2AqKfg,zeroshot,Playing violin,2,382600,382710
2160,33068,activitynet~v_ZLXhlWhrkno,indomain,Archery,0,382712,382829
2161,33070,activitynet~v_ZLXhlWhrkno,indomain,Archery,2,382831,382964
2162,33071,activitynet~v_ZLXhlWhrkno,indomain,Archery,0,382966,383159
2163,33073,activitynet~v_ZLXhlWhrkno,indomain,Archery,1,383161,383329
2164,33109,activitynet~v_ZbfYwmb39H0,indomain,Playing lacrosse,3,383331,383505
2165,33110,activitynet~v_ZbfYwmb39H0,indomain,Playing lacrosse,2,383507,383795
2166,33114,activitynet~v_ZlHaPkhGr_g,zeroshot,Playing harmonica,1,383797,383978
2167,33116,activitynet~v_ZlHaPkhGr_g,zeroshot,Playing harmonica,3,383980,384147
2168,33117,activitynet~v_ZlHaPkhGr_g,zeroshot,Playing harmonica,0,384149,384401
